date,dma,isTreatmentPeriod,isTreatmentGroup,revenue
4/1/2012,500,0,0,76718.736
4/1/2012,501,0,1,2096176.536
4/1/2012,502,0,1,34993.8504
4/1/2012,503,0,1,34198.7544
4/1/2012,504,0,1,641014.2144
4/1/2012,505,0,0,327989.3112
4/1/2012,506,0,1,542373.984
4/1/2012,507,0,1,49080.1968
4/1/2012,508,0,1,230705.2944
4/1/2012,509,0,1,51699.4488
4/1/2012,510,0,1,287997.4008
4/1/2012,511,0,0,564910.3944
4/1/2012,512,0,1,241449.7464
4/1/2012,513,0,0,82045.5336
4/1/2012,514,0,1,157861.0944
4/1/2012,515,0,1,149136.624
4/1/2012,516,0,1,31408.4808
4/1/2012,517,0,0,183142.6344
4/1/2012,518,0,1,104594.7384
4/1/2012,519,0,1,46660.8816
4/1/2012,520,0,1,35264.8728
4/1/2012,521,0,0,127206.432
4/1/2012,522,0,1,35494.884
4/1/2012,523,0,1,88089.7392
4/1/2012,524,0,1,383967.6192
4/1/2012,525,0,0,15370.7976
4/1/2012,526,0,1,23615.9424
4/1/2012,527,0,1,169157.592
4/1/2012,528,0,0,626294.2176
4/1/2012,529,0,1,112196.4552
4/1/2012,530,0,1,34400.0232
4/1/2012,531,0,1,51986.4984
4/1/2012,532,0,1,115934.94
4/1/2012,533,0,1,239605.0056
4/1/2012,534,0,0,306014.9904
4/1/2012,535,0,1,148151.592
4/1/2012,536,0,0,48022.956
4/1/2012,537,0,1,26071.8336
4/1/2012,538,0,1,90076.1544
4/1/2012,539,0,1,368264.844
4/1/2012,540,0,1,45119.0592
4/1/2012,541,0,1,82127.7144
4/1/2012,542,0,0,87067.2168
4/1/2012,543,0,1,60329.8296
4/1/2012,544,0,0,147166.56
4/1/2012,545,0,0,41746.4784
4/1/2012,546,0,0,57527.1288
4/1/2012,547,0,0,74758.5432
4/1/2012,548,0,0,167434.0992
4/1/2012,549,0,1,26167.1976
4/1/2012,550,0,0,25310.4336
4/1/2012,551,0,1,46199.1888
4/1/2012,552,0,1,7779.708
4/1/2012,553,0,1,18961.5456
4/1/2012,554,0,1,27629.9928
4/1/2012,555,0,1,81430.0992
4/1/2012,556,0,0,93649.968
4/1/2012,557,0,0,80710.3008
4/1/2012,558,0,1,7774.2648
4/1/2012,559,0,1,25704.6336
4/1/2012,560,0,1,183401.5752
4/1/2012,561,0,0,110637.4536
4/1/2012,563,0,0,119084.544
4/1/2012,564,0,1,93478.1472
4/1/2012,565,0,0,21861.0936
4/1/2012,566,0,0,143786.0232
4/1/2012,567,0,1,140094.6408
4/1/2012,569,0,1,12022.1352
4/1/2012,570,0,1,41319.6336
4/1/2012,571,0,1,82660.9752
4/1/2012,573,0,1,69202.8144
4/1/2012,574,0,1,68800.2984
4/1/2012,575,0,1,69402.3336
4/1/2012,576,0,0,28102.6008
4/1/2012,577,0,0,151176.816
4/1/2012,581,0,0,26977.6152
4/1/2012,582,0,1,11175.192
4/1/2012,583,0,1,2007.0504
4/1/2012,584,0,1,11770.8264
4/1/2012,588,0,1,61446.8664
4/1/2012,592,0,1,23377.788
4/1/2012,596,0,0,4423.8456
4/1/2012,597,0,1,15239.3616
4/1/2012,598,0,1,22126.8024
4/1/2012,600,0,1,37875.5568
4/1/2012,602,0,1,758528.568
4/1/2012,603,0,1,22622.184
4/1/2012,604,0,1,32854.0032
4/1/2012,605,0,1,36484.38
4/1/2012,606,0,0,13505.7312
4/1/2012,609,0,0,185071.2552
4/1/2012,610,0,1,39313.2744
4/1/2012,611,0,0,25233.9408
4/1/2012,612,0,1,55055.1528
4/1/2012,613,0,0,317687.2416
4/1/2012,616,0,1,146676.6792
4/1/2012,617,0,0,178821.5688
4/1/2012,618,0,1,434032.0272
4/1/2012,619,0,1,69049.7784
4/1/2012,622,0,0,108207.72
4/1/2012,623,0,1,466087.1544
4/1/2012,624,0,0,23057.9568
4/1/2012,625,0,1,58573.3896
4/1/2012,626,0,1,5183.928
4/1/2012,627,0,0,25270.4952
4/1/2012,628,0,1,56192.1408
4/1/2012,630,0,1,114492.8664
4/1/2012,631,0,1,9645.4296
4/1/2012,632,0,1,62765.2656
4/1/2012,633,0,1,32955.1632
4/1/2012,634,0,1,39849.0552
4/1/2012,635,0,0,143989.0056
4/1/2012,636,0,1,60518.0304
4/1/2012,637,0,1,57693.1608
4/1/2012,638,0,1,7659.4032
4/1/2012,639,0,1,12157.6248
4/1/2012,640,0,1,104274.3096
4/1/2012,641,0,1,145248.7824
4/1/2012,642,0,1,39556.62
4/1/2012,643,0,1,19643.364
4/1/2012,644,0,0,11204.1504
4/1/2012,647,0,1,9365.6376
4/1/2012,648,0,1,58935.2904
4/1/2012,649,0,1,40325.9328
4/1/2012,650,0,1,108099.756
4/1/2012,651,0,1,24471.0144
4/1/2012,652,0,1,64506.4704
4/1/2012,656,0,0,23840.2152
4/1/2012,657,0,1,16045.7904
4/1/2012,658,0,1,82171.692
4/1/2012,659,0,1,172648.4472
4/1/2012,661,0,1,8659.2456
4/1/2012,662,0,1,18533.268
4/1/2012,669,0,1,67241.7648
4/1/2012,670,0,1,58873.1616
4/1/2012,671,0,0,77512.4568
4/1/2012,673,0,0,28316.2176
4/1/2012,675,0,1,44629.6824
4/1/2012,676,0,0,33565.0608
4/1/2012,678,0,0,106136.856
4/1/2012,679,0,0,75676.6728
4/1/2012,682,0,1,59374.8648
4/1/2012,686,0,0,84427.9992
4/1/2012,687,0,0,43548.5304
4/1/2012,691,0,0,70351.6824
4/1/2012,692,0,0,25960.1976
4/1/2012,693,0,0,89120.1888
4/1/2012,698,0,1,34446.744
4/1/2012,702,0,1,36304.6968
4/1/2012,705,0,0,31569.4224
4/1/2012,709,0,1,35992.0728
4/1/2012,710,0,0,12852.2592
4/1/2012,711,0,0,7716.3048
4/1/2012,716,0,1,56948.1264
4/1/2012,717,0,1,17825.7888
4/1/2012,718,0,1,45715.2048
4/1/2012,722,0,1,51878.8296
