units,weekInYearNum,overallWeekNum,totalCost,storeNum,productNum,isFeature,isDisplay
1,1,1,1.09,1,8,FALSE,FALSE
1,1,1,1.09,1,8,FALSE,FALSE
3,1,1,2.67,1,9,FALSE,FALSE
2,1,1,1.78,1,9,FALSE,FALSE
2,1,1,1.78,1,9,FALSE,FALSE
1,1,1,0.89,1,9,FALSE,FALSE
1,1,1,0.89,1,9,FALSE,FALSE
2,1,1,1.78,1,9,FALSE,FALSE
2,1,1,1.78,1,10,FALSE,FALSE
1,1,1,0.89,1,11,FALSE,FALSE
2,1,1,1.78,1,11,FALSE,FALSE
2,1,1,1.78,1,11,FALSE,FALSE
2,1,1,1.78,1,11,FALSE,FALSE
4,1,1,3.56,1,12,FALSE,FALSE
2,1,1,1.78,1,12,FALSE,FALSE
2,1,1,1.98,1,14,FALSE,FALSE
1,1,1,0.99,1,15,FALSE,FALSE
1,1,1,1.15,1,17,FALSE,FALSE
4,1,1,4.6,1,17,FALSE,FALSE
2,1,1,2.3,1,17,FALSE,FALSE
1,1,1,0.99,1,18,FALSE,FALSE
1,1,1,0.99,1,18,FALSE,FALSE
1,1,1,0.99,1,18,FALSE,FALSE
1,1,1,0.99,1,19,FALSE,FALSE
2,1,1,1.98,1,19,FALSE,FALSE
2,1,1,2.78,1,69,FALSE,FALSE
2,1,1,2.78,1,69,FALSE,FALSE
1,1,1,1.39,1,69,FALSE,FALSE
2,1,1,2.78,1,71,FALSE,FALSE
1,1,1,1.39,1,72,FALSE,FALSE
2,1,1,1,1,87,FALSE,TRUE
3,1,1,1.5,1,87,FALSE,TRUE
2,1,1,1,1,87,FALSE,TRUE
2,1,1,1,1,87,FALSE,TRUE
1,1,1,0.79,1,88,FALSE,FALSE
3,1,1,0.99,1,99,FALSE,TRUE
6,1,1,1.98,1,99,FALSE,TRUE
3,1,1,0.99,1,99,FALSE,TRUE
3,1,1,0.99,1,99,FALSE,TRUE
3,1,1,0.99,1,99,FALSE,TRUE
1,1,1,0.34,1,99,FALSE,TRUE
2,1,1,1.58,1,101,FALSE,FALSE
3,1,1,3.21,2,9,FALSE,FALSE
1,1,1,1.07,2,15,FALSE,FALSE
1,1,1,0.87,2,19,FALSE,FALSE
2,1,1,2.26,2,20,FALSE,FALSE
2,1,1,1.7,2,79,FALSE,FALSE
2,1,1,1.66,2,79,FALSE,FALSE
4,1,1,2.2,2,99,FALSE,FALSE
1,1,1,0.55,2,99,FALSE,FALSE
2,1,1,1.66,3,6,FALSE,FALSE
1,1,1,0.83,3,6,FALSE,FALSE
1,1,1,0.93,3,8,FALSE,FALSE
1,1,1,0.93,3,9,FALSE,FALSE
2,1,1,1.86,3,10,FALSE,FALSE
1,1,1,0.93,3,10,FALSE,FALSE
1,1,1,0.93,3,11,FALSE,FALSE
3,1,1,2.79,3,11,FALSE,FALSE
1,1,1,0.93,3,13,FALSE,FALSE
1,1,1,0.93,3,14,FALSE,FALSE
1,1,1,0.93,3,17,FALSE,FALSE
2,1,1,1.86,3,17,FALSE,FALSE
1,1,1,0.93,3,17,FALSE,FALSE
1,1,1,0.79,3,19,FALSE,FALSE
2,1,1,1.58,3,19,FALSE,FALSE
2,1,1,1,3,42,FALSE,TRUE
2,1,1,1,3,42,FALSE,TRUE
2,1,1,1,3,42,FALSE,TRUE
